                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.79402,                0.50595,                0.92682,                0.99196,                0.96811,                 0.9905,                0.68012,                 1.2004,                0.53151,                 1.0367,             0.00068628,             0.00068628,             0.00068628
                    107,                0.79164,                0.51058,                0.92054,                0.98093,                0.99772,                0.99243,                0.69688,                 1.1844,                0.55593,                 1.0466,              0.0006792,              0.0006792,              0.0006792
                    108,                0.79235,                0.51033,                0.92309,                0.98548,                0.99735,                0.99426,                 0.6991,                 1.1977,                0.54472,                 1.0835,             0.00067213,             0.00067213,             0.00067213
                    109,                0.77681,                0.51821,                0.92374,                0.99193,                0.99048,                0.99464,                0.68828,                 1.2589,                0.59322,                 1.0839,             0.00066506,             0.00066506,             0.00066506
                    110,                0.81084,                0.53343,                0.92924,                0.99439,                0.96009,                0.99046,                0.68207,                 1.2634,                0.57692,                 1.0827,             0.00065798,             0.00065798,             0.00065798
                    111,                0.80419,                0.52129,                0.91969,                0.96683,                0.96824,                0.98712,                0.68827,                 1.2628,                0.57542,                 1.0919,             0.00065091,             0.00065091,             0.00065091
                    112,                0.77082,                0.49916,                0.91441,                0.97549,                0.98451,                0.99164,                0.68892,                 1.2208,                0.58149,                 1.0981,             0.00064384,             0.00064384,             0.00064384
                    113,                0.75665,                0.49118,                0.91128,                0.99379,                0.97143,                 0.9935,                0.69878,                 1.1914,                0.57628,                 1.0722,             0.00063676,             0.00063676,             0.00063676
                    114,                0.77216,                0.50141,                0.91588,                0.97887,                0.95238,                0.98753,                0.67296,                 1.2335,                0.59262,                 1.1352,             0.00062969,             0.00062969,             0.00062969
                    115,                0.75327,                0.49716,                0.90113,                0.97907,                0.97799,                0.99185,                0.68657,                 1.2215,                0.59536,                 1.0631,             0.00062262,             0.00062262,             0.00062262
                    116,                0.75428,                0.48713,                0.91743,                0.98446,                0.95929,                0.98484,                0.69266,                 1.2105,                0.58347,                 1.0383,             0.00061554,             0.00061554,             0.00061554
                    117,                 0.7552,                0.48029,                0.90803,                0.96893,                0.96433,                0.98643,                 0.7167,                 1.2067,                0.57033,                 1.0601,             0.00060847,             0.00060847,             0.00060847
                    118,                0.76246,                0.49896,                0.90744,                0.98631,                0.97559,                0.99089,                0.70694,                 1.2203,                0.54923,                 1.0945,             0.00060139,             0.00060139,             0.00060139
                    119,                 0.7306,                0.47428,                0.90756,                 0.9782,                0.98095,                0.99347,                0.71458,                 1.1825,                0.54186,                  1.087,             0.00059432,             0.00059432,             0.00059432
                    120,                0.72342,                0.46905,                0.90129,                0.96821,                 0.9775,                0.99302,                0.70598,                 1.1884,                0.54529,                 1.0747,             0.00058725,             0.00058725,             0.00058725
                    121,                0.71402,                0.46678,                0.90272,                0.98587,                0.96963,                0.98867,                0.70316,                 1.1911,                0.60229,                 1.1005,             0.00058017,             0.00058017,             0.00058017
                    122,                0.73517,                  0.476,                0.91361,                0.95829,                0.98042,                0.98404,                0.68725,                 1.2318,                0.61616,                 1.0937,              0.0005731,              0.0005731,              0.0005731
                    123,                 0.7654,                0.49066,                0.91277,                0.95428,                0.97662,                0.98248,                0.69584,                 1.1847,                 0.5934,                 1.0302,             0.00056603,             0.00056603,             0.00056603
                    124,                0.75529,                0.49472,                0.90482,                0.96391,                0.99048,                0.98346,                0.70887,                 1.1753,                0.59184,                 1.0513,             0.00055895,             0.00055895,             0.00055895
                    125,                0.72539,                0.47767,                0.90529,                0.95293,                0.99689,                0.99184,                0.70101,                 1.1879,                0.57026,                 1.0733,             0.00055188,             0.00055188,             0.00055188
                    126,                0.72729,                 0.4766,                0.90637,                0.97118,                 0.9809,                0.99328,                0.69862,                 1.1989,                0.59824,                 1.0549,             0.00054481,             0.00054481,             0.00054481
                    127,                0.73949,                0.48354,                0.90622,                0.96083,                0.98095,                0.99162,                0.70812,                 1.2061,                0.59979,                 1.0556,             0.00053773,             0.00053773,             0.00053773
                    128,                 0.6989,                0.46782,                 0.8996,                0.96743,                0.97249,                0.98491,                0.71304,                 1.2076,                0.58249,                 1.0534,             0.00053066,             0.00053066,             0.00053066
                    129,                0.72192,                0.46973,                0.90085,                0.98305,                0.97143,                0.98427,                0.68348,                 1.2423,                0.58152,                 1.1164,             0.00052359,             0.00052359,             0.00052359
                    130,                0.69988,                0.46157,                0.90156,                0.97289,                0.97067,                0.98113,                0.69396,                 1.2131,                0.61027,                 1.1124,             0.00051651,             0.00051651,             0.00051651
                    131,                0.72292,                0.46263,                0.90131,                 0.9811,                0.95238,                0.98491,                0.68981,                 1.2118,                0.59862,                 1.0666,             0.00050944,             0.00050944,             0.00050944
                    132,                0.73574,                0.47176,                0.89939,                0.97048,                0.97143,                0.98488,                0.71157,                 1.1795,                0.55645,                 1.0419,             0.00050236,             0.00050236,             0.00050236
                    133,                0.72317,                0.47031,                0.90043,                0.95899,                0.98095,                 0.9833,                0.70568,                 1.2064,                0.57161,                  1.052,             0.00049529,             0.00049529,             0.00049529
                    134,                0.69205,                 0.4527,                0.89082,                0.99359,                0.99048,                0.99341,                0.70566,                 1.2092,                0.58452,                 1.0839,             0.00048822,             0.00048822,             0.00048822
                    135,                 0.6975,                0.46096,                0.89879,                0.97832,                0.99048,                0.99352,                0.69738,                 1.2315,                0.57493,                 1.0572,             0.00048114,             0.00048114,             0.00048114
                    136,                0.72356,                0.47039,                0.90018,                0.99546,                0.98596,                0.99376,                0.68193,                 1.2322,                0.56764,                 1.0588,             0.00047407,             0.00047407,             0.00047407
                    137,                 0.6769,                0.46012,                0.89358,                0.98868,                0.97143,                0.99321,                0.70133,                 1.2242,                 0.5657,                 1.1462,               0.000467,               0.000467,               0.000467
                    138,                   0.69,                0.45587,                0.89894,                0.97466,                0.97794,                0.99205,                0.69524,                 1.2156,                0.61154,                 1.1109,             0.00045992,             0.00045992,             0.00045992
                    139,                0.70807,                0.45959,                0.89812,                 0.9632,                 0.9619,                0.98532,                0.70389,                 1.1623,                0.56256,                 1.0791,             0.00045285,             0.00045285,             0.00045285
                    140,                0.69028,                0.44221,                0.89669,                0.98692,                0.96845,                0.99014,                0.69682,                 1.2044,                0.54701,                 1.0851,             0.00044578,             0.00044578,             0.00044578
                    141,                0.70679,                0.45986,                0.89599,                0.99551,                0.98875,                0.99432,                0.70471,                 1.2182,                0.59099,                 1.1233,              0.0004387,              0.0004387,              0.0004387
                    142,                0.70305,                0.47224,                0.90013,                0.97725,                0.99709,                 0.9937,                0.71675,                 1.1938,                0.55764,                 1.0992,             0.00043163,             0.00043163,             0.00043163
                    143,                0.68394,                0.45251,                0.89335,                0.98467,                 0.9841,                0.99257,                0.71045,                 1.1633,                0.55229,                  1.083,             0.00042456,             0.00042456,             0.00042456
                    144,                0.67481,                0.44338,                0.89539,                0.98617,                0.97704,                0.99292,                0.70336,                 1.1857,                0.54583,                 1.1085,             0.00041748,             0.00041748,             0.00041748
                    145,                0.68884,                0.45315,                0.89958,                0.95708,                      1,                 0.9939,                0.70646,                 1.1835,                0.54672,                 1.0916,             0.00041041,             0.00041041,             0.00041041
                    146,                0.69483,                0.44643,                0.89721,                 0.9971,                0.98782,                0.99402,                 0.7062,                 1.1973,                0.53277,                 1.0871,             0.00040334,             0.00040334,             0.00040334
                    147,                0.65722,                0.43946,                0.88806,                0.98783,                0.99471,                  0.995,                 0.7044,                 1.1565,                0.54087,                 1.0706,             0.00039626,             0.00039626,             0.00039626
                    148,                0.67799,                0.45213,                0.89518,                0.98956,                 0.9868,                0.99481,                 0.7175,                 1.1666,                0.52885,                 1.0689,             0.00038919,             0.00038919,             0.00038919
                    149,                0.64308,                0.43165,                0.88701,                0.96257,                 0.9619,                0.98902,                0.69812,                 1.2019,                0.55441,                 1.0772,             0.00038211,             0.00038211,             0.00038211
                    150,                0.65804,                0.44142,                0.88758,                0.96737,                0.99048,                0.98957,                0.68668,                 1.2358,                0.59003,                 1.1175,             0.00037504,             0.00037504,             0.00037504
                    151,                0.65935,                0.43651,                0.88877,                0.99389,                0.96042,                0.98628,                0.69048,                 1.2148,                0.57828,                 1.1224,             0.00036797,             0.00036797,             0.00036797
